time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1279324800,0.04951,0.04951,0.04951,20.0,0.9902,0.04951,direct,
1279411200,0.08585,0.05941,0.04951,75.01,5.092,0.08584,direct,
1279497600,0.09307,0.07723,0.08584,574.0,49.66,0.0808,direct,
1279584000,0.08181,0.07426,0.0808,262.0,20.59,0.07474,direct,
1279670400,0.07921,0.06634,0.07474,575.0,42.26,0.07921,direct,
1279756800,0.08181,0.0505,0.07921,2160.0,129.78,0.0505,direct,
1279843200,0.06767,0.0505,0.0505,2402.5,141.07,0.06262,direct,
1279929600,0.06161,0.05049,0.06262,496.32,26.73,0.05454,direct,
1280016000,0.05941,0.0505,0.05454,1551.48,85.06,0.0505,direct,
1280102400,0.056,0.05,0.0505,877.0,46.91,0.056,direct,
1280188800,0.0605,0.053,0.056,3373.69,196.92,0.06,direct,
1280275200,0.062,0.054,0.06,4390.29,255.76,0.0589,direct,
1280361600,0.0699,0.0571,0.0589,8058.49,528.32,0.0699,direct,
1280448000,0.0698,0.0582,0.0699,3020.85,198.53,0.0627,direct,
1280534400,0.06889,0.056,0.0627,4022.25,243.9,0.06785,direct,
1280620800,0.065,0.06,0.06785,2601.0,162.65,0.0611,direct,
1280707200,0.0633,0.06,0.0611,3599.0,221.2,0.06,direct,
1280793600,0.065,0.059,0.06,9821.46,606.05,0.06,direct,
1280880000,0.06231,0.057,0.06,3494.0,210.77,0.057,direct,
1280966400,0.061,0.058,0.057,5034.07,303.61,0.061,direct,
1281052800,0.0624,0.0607,0.061,1395.0,85.91,0.0623,direct,
1281139200,0.0622,0.059,0.0623,2619.0,157.34,0.059,direct,
1281225600,0.061,0.059,0.059,2201.0,132.6,0.0609,direct,
1281312000,0.0735,0.0593,0.0609,13631.09,886.93,0.071,direct,
1281398400,0.0709,0.06651,0.071,1310.39,88.87,0.07,direct,
1281484800,0.07541,0.06,0.07,14061.18,1015.64,0.067,direct,
1281571200,0.07,0.06141,0.067,2062.31,134.49,0.07,direct,
1281657600,0.068,0.0645,0.07,3591.77,233.8,0.0645,direct,
1281744000,0.0695,0.0645,0.0645,4404.2,295.31,0.067,direct,
1281830400,0.067,0.065,0.067,4462.87,294.95,0.06529,direct,
1281916800,0.0679,0.062,0.06529,10731.47,696.8,0.0655,direct,
1282003200,0.0769,0.06243,0.0655,13185.74,915.0,0.07,direct,
1282089600,0.0733,0.067,0.07,2953.98,203.83,0.068,direct,
1282176000,0.0679,0.0667,0.068,741.12,50.04,0.0667,direct,
1282262400,0.0667,0.065,0.0667,4199.75,276.41,0.0655,direct,
1282348800,0.0669,0.0644,0.0655,10443.86,688.51,0.0664,direct,
1282435200,0.0664,0.0612,0.0664,18648.97,1183.64,0.066,direct,
1282521600,0.06689,0.063,0.066,4297.49,281.88,0.06491,direct,
1282608000,0.0665,0.06491,0.06491,6711.76,444.66,0.065,direct,
1282694400,0.0665,0.0641,0.065,4228.88,278.86,0.0648,direct,
1282780800,0.0658,0.064,0.0648,3870.01,251.56,0.064,direct,
1282867200,0.065,0.063,0.064,9009.97,583.71,0.065,direct,
1282953600,0.065,0.0641,0.065,6174.01,399.45,0.0641,direct,
1283040000,0.0648,0.064,0.0641,3173.4,204.88,0.064,direct,
1283126400,0.069,0.03211,0.064,34193.14,2135.0,0.06497,direct,
1283212800,0.0649,0.06,0.06497,14886.91,933.23,0.06,direct,
1283299200,0.0629,0.05961,0.06,7164.72,436.73,0.0629,direct,
1283385600,0.0634,0.0601,0.0629,8150.73,498.98,0.0634,direct,
